YEAR,NAME,TEAM,IP,pLI,playerid
2011,Pedro Beato,Mets,67,0.92,1330
2013,Matt Belisle,Rockies,73,1.36,1837
2012,Antonio Bastardo,Phillies,52,1.72,8844
2013,Chris Perez,Indians,54,2.03,5213
2013,Josh Outman,Rockies,54,0.81,4004
2013,Josh Roenicke,Twins,62,0.85,3241
2011,Kevin Gregg,Orioles,59.2,1.75,1793
2012,Francisco Rodriguez,Brewers,72,1.71,1642
2011,Marco Estrada,Brewers,51.1,0.75,1118
2014,Justin Wilson,Pirates,51.1,1.18,4301
2013,Shawn Kelley,Yankees,53.1,0.87,7773
2011,Michael Gonzalez,- - -,53.1,0.73,1794
2014,Antonio Bastardo,Phillies,55.1,1.34,8844
2013,George Kontos,Giants,55.1,0.64,9486
2011,Chris Resop,Pirates,69.2,1.23,3799
2012,Matt Reynolds,Rockies,57.1,0.65,8887
2012,Tony Sipp,Indians,55,0.73,8280
2013,David Hernandez,Diamondbacks,62.1,1.7,4259
2013,Drew Storen,Nationals,61.2,1.34,6983
2012,Chad Gaudin,Marlins,69.1,0.61,1783
2013,Pedro Strop,- - -,57.1,1.26,4070
2012,Adam Ottavino,Rockies,79,0.89,1247
2011,Enerio Del Rosario,Astros,53,0.62,4204
2012,Kameron Loe,Brewers,68.1,1.14,4422
2012,Clay Hensley,Giants,50.2,1.04,4593
2012,John Axford,Brewers,69.1,1.88,9059
2012,Esmil Rogers,- - -,78.2,0.72,6317
2014,Matt Belisle,Rockies,53.1,0.82,1837
2011,Matt Albers,Red Sox,64.2,0.93,4300
2012,Addison Reed,White Sox,55,2.01,10586
2011,John Grabow,Cubs,62.1,0.59,1848
2013,Hector Rondon,Cubs,54.2,0.82,2391
2014,Josh Fields,Astros,50.1,1.19,5070
2011,Jon Rauch,Blue Jays,52,1.46,1475
2012,Manny Parra,Brewers,58.2,0.97,4279
2012,Heath Bell,Marlins,63.2,1.88,2080
2011,Frank Herrmann,Indians,56.1,0.4,7960
2014,Randall Delgado,Diamondbacks,52.2,0.72,5985
2012,Carlos Torres,Rockies,53,0.85,7624
2014,J.J. Hoover,Reds,54.2,1.02,9037
